station_id,name,latitude,longitude,address,google_maps,source
309343,KHT Brookefield,12.96712414548928,77.71696159433418,"#2, Kundalahalli Main Road, AECS Layout, ","https://www.google.com/maps/search/?api=1&query=12.96712414548928,77.71696159433418",OpenChargeMap
309342,JLR Shakti Auto,12.963582255188314,77.7173795341912,"Jaguar and Land Rover, #36 Kundalahalli Main Road","https://www.google.com/maps/search/?api=1&query=12.963582255188314,77.7173795341912",OpenChargeMap
309341,goEgo EV CHARGE PARK,12.96316,77.71814,"SRIT House, #113/1B, ITPL Main Road","https://www.google.com/maps/search/?api=1&query=12.96316,77.71814",OpenChargeMap
308795,IKEA Bengaluru,13.04917,77.49967,"Nelamangala - Majestic Service Rd, Manjunatha Nagar, ","https://www.google.com/maps/search/?api=1&query=13.04917,77.49967",OpenChargeMap
309306,MG Motor Hosur Road,12.86563,77.65753,"Old, 2B Workshop No 6, 384, 6/2 1, Hosur Road","https://www.google.com/maps/search/?api=1&query=12.86563,77.65753",OpenChargeMap
308904,Shell Recharge Kanakapura Road,12.86276,77.53146,"Kanakapura Main Rd, Uttarahalli Hobli","https://www.google.com/maps/search/?api=1&query=12.86276,77.53146",OpenChargeMap
308921,"La Maison Citroën Hosur Road, Bengaluru",12.86308,77.65922,"Survey No.4, Khata No. 62-4, Beratena Agrahara Village Begur Hobli","https://www.google.com/maps/search/?api=1&query=12.86308,77.65922",OpenChargeMap
309339,DivyaSree LitBox,12.97098961190295,77.7250244631253,"DivyaSree Republic of Whitefield Sy. No. 36/2 & 36/3, Kundanahalli Village ","https://www.google.com/maps/search/?api=1&query=12.97098961190295,77.7250244631253",OpenChargeMap
311451,Metro Cash&Carry,12.8610658784023,77.66099764437081,"5/2, NH - 44, Lavakusha Nagar","https://www.google.com/maps/search/?api=1&query=12.8610658784023,77.66099764437081",OpenChargeMap
308885,Shell Yelahanka New Town,13.098,77.5658,"Yelahanka Rd, Escorts Colony","https://www.google.com/maps/search/?api=1&query=13.098,77.5658",OpenChargeMap
309338,Marriott Hotel Whitefield,12.979262407836174,77.72744812682743,"Plot No 75, 8th Road","https://www.google.com/maps/search/?api=1&query=12.979262407836174,77.72744812682743",OpenChargeMap
309337,Nexus Shantiniketan Jio-BP,12.989040024957774,77.72758362256013,ITPL Road,"https://www.google.com/maps/search/?api=1&query=12.989040024957774,77.72758362256013",OpenChargeMap
309336,Nexus Shantiniketan - Statiq,12.989065694796125,77.72760379808074,ITPL Road,"https://www.google.com/maps/search/?api=1&query=12.989065694796125,77.72760379808074",OpenChargeMap
309340,"Jio-bp Pulse Hub, Siddhapura",12.957173268150797,77.72954555409183,#244 Shop No 1 Varthur Main Road,"https://www.google.com/maps/search/?api=1&query=12.957173268150797,77.72954555409183",OpenChargeMap
308920,JioBP Pulse Charging Hub - Electronic City Phase II,12.86462,77.67486,"Sy No 62/1, Electronic City, Hobli, Begur","https://www.google.com/maps/search/?api=1&query=12.86462,77.67486",OpenChargeMap
309186,Jio BP Charging Hub Chikkagubbi ,13.087848141186939,77.66014774782752,"Chikkagubbi Village, Nadagowdagollahalli","https://www.google.com/maps/search/?api=1&query=13.087848141186939,77.66014774782752",OpenChargeMap
309335,Sheraton Grand Bengaluru Whitefield Hotel & Convention Center,12.989215375302493,77.72961910576282,"Whitefield Road, Prestige Shantiniketan","https://www.google.com/maps/search/?api=1&query=12.989215375302493,77.72961910576282",OpenChargeMap
308886,Shell Recharge Kogilu Road,13.1043,77.60448,"Kogilu Main Rd, Kurlappa Layout","https://www.google.com/maps/search/?api=1&query=13.1043,77.60448",OpenChargeMap
309334,Divyasree NR Enclave,12.986347110711023,77.73038387486008,"#1, 1st Main Rd, Whitefield","https://www.google.com/maps/search/?api=1&query=12.986347110711023,77.73038387486008",OpenChargeMap
308897,Shell Recharge Prestige Shantiniketan,12.992,77.7299,"9, Shanthi Road Bheemanna Garden, Shanti Nagar, Thigalarapalya","https://www.google.com/maps/search/?api=1&query=12.992,77.7299",OpenChargeMap
308679,Kengeri Charging Hub,12.9055171580421,77.47375007379192,"Sy.no 125/1B, 111/1C, 129/1C, Mysore Road","https://www.google.com/maps/search/?api=1&query=12.9055171580421,77.47375007379192",OpenChargeMap
311454,Electronic City - BPCL,12.85327,77.6672,"Hosur Road, Konappana Agrahara","https://www.google.com/maps/search/?api=1&query=12.85327,77.6672",OpenChargeMap
309333,Park Square Mall,12.987280089618991,77.73628236461366,"ITPB, ITPL Main Road","https://www.google.com/maps/search/?api=1&query=12.987280089618991,77.73628236461366",OpenChargeMap
103603,Ather Grid Point - Ascendas Park square mall,12.9872191,77.7364744,"40, ITPL Main Rd, Pattandur Agrahara,","https://www.google.com/maps/search/?api=1&query=12.9872191,77.7364744",OpenChargeMap
309318,Jio-BP Pulse Varthur Hub,12.93979,77.73447,"Survey No 13/3, Balagere Road, opposite EuroKids","https://www.google.com/maps/search/?api=1&query=12.93979,77.73447",OpenChargeMap
309332,Taj Vivanta Whitefield,12.98720238234145,77.7373662993079,"ITPB Main Road, Beside Park Square Mall","https://www.google.com/maps/search/?api=1&query=12.98720238234145,77.7373662993079",OpenChargeMap
103604,"International Tech Park, Bangalore",12.985420937588,77.7385128788513,"Whitefield Road, Pattandur Agrahara, Whitefield","https://www.google.com/maps/search/?api=1&query=12.985420937588,77.7385128788513",OpenChargeMap
309076,Hotel Kadamba Veg,12.9019345,77.4689096,"Sy. No 272/2, Nice Road Junction","https://www.google.com/maps/search/?api=1&query=12.9019345,77.4689096",OpenChargeMap
311452,BloomSuites,12.839685411251565,77.65952566488613,"No. 5-56/A, Wipro Avenue, opp. Wipro Gate, Electronics City Phase 1","https://www.google.com/maps/search/?api=1&query=12.839685411251565,77.65952566488613",OpenChargeMap
309185,Jaguar Land Rover Cars Airport Road,13.11756,77.60923,"NH - 44, Airport Road","https://www.google.com/maps/search/?api=1&query=13.11756,77.60923",OpenChargeMap
311453,Monk Mansion,12.841088856819354,77.66441658541129,"89, Neeladri Nagar","https://www.google.com/maps/search/?api=1&query=12.841088856819354,77.66441658541129",OpenChargeMap
309330,Nexus Whitefield Statiq,12.960076399887868,77.74719391663552,"62, Whitefield Main Road","https://www.google.com/maps/search/?api=1&query=12.960076399887868,77.74719391663552",OpenChargeMap
103615,Ather Grid Point - Herbs and Spices,12.9679246469975,77.7497762255596,Whitefield Main Road,"https://www.google.com/maps/search/?api=1&query=12.9679246469975,77.7497762255596",OpenChargeMap
308918,Blusmart Charging Station Electronic City Phase 1,12.82734,77.65552,"Maragondanahalli, Bommasandra","https://www.google.com/maps/search/?api=1&query=12.82734,77.65552",OpenChargeMap
309331,The Zinc By Fern Hotels,12.97757571689229,77.7570895079167,"Surya Elegance, Off Channasandra Main Road, ","https://www.google.com/maps/search/?api=1&query=12.97757571689229,77.7570895079167",OpenChargeMap
